ID,College Name,City,State,Status,Notes,
1,Berea,Berea,KY,Online only,"Cease instructional activities as of the end of the day on this Friday, March 13.",
2,Harvard College,Cambridge,MA,Online only,"Harvard College students have been asked to move out of their Houses and First-Year Dorms by Sunday, March 15",
3,American University,Washington,DC,Online only,Temporarily conduct all classes online following extended spring break,
4,Syracuse University,Syracuse,NY,Online only,"On Friday, March 13, and through at least March 30, Syracuse University will transition from residential to online instruction",
5,University of Maryland,College Park,MD,Online only,"The University Will Have Reduced Operations the Week of March 23. From March 30 to April 10, Campus Will Move to an Online Environment",
6,Rice University,Houston,TX,Cancelled,"We plan to resume classes on Monday, March 23.",
7,Cornell University,Ithaca,NY,Online only,All classes will be held online after spring break,
8,Stanford University,Stanford,CA,Online only,Final two weeks of quarter cancelled,
9,University of Washington,Seattle,WA,Online only,Ending in person classes for the quarter,
10,Columbia University,New York City,NY,Online only,"Classes resume virtually on Wednesday, March 11 through the week after spring break",
11,Pacific Lutheran University,Parkland,WA,Online only,Classes will occur remotely through March 30,
12,Amherst College,Amherst,MA,Online only,"Move to remote learning after spring break, beginning Monday, March 23",
13,Yale University,New Haven,CT,Online only,Moving to only learning after spring break,
14,Western Kentucky University,Bowling Green,KY,Online only,"On March 23, WKU will transition to an alternate delivery format through Sunday, April 5.",
15,University of Kentucky,Lexington,KY,Online only,Instruction will continue through online or other alternatives from March 23 through April 3,
16,Ohio University,Athens,OH,Online only,"Moving to virtual instruction, effective immediately and through at least Monday, March 30.",
17,Michigan State University,Lansing,MI,Online only,Moved to online instruction-only until at least April 20,
18,Central Michigan University,Mount Pleasant,MI,Online only,"Moving all classes online after spring break through March 20, and that it would decide by 4 p.m. March 19 about classes for the following week.",
19,Academy of Art,San Francisco,CA,Online only,Temporarily moving all onsite classes online,
20,Palo Alto University,Pal Alto,CA,Online only,Classes go online Monday March 9,
21,Pepperdine,Malibu,CA,Online only,"The last day of scheduled in-person classes at all five schools and across every campus will be on Friday, March 13",
22,University of Colorado Boulder,Boulder,CO,Online only,"Beginning Monday, March 16, the campus will transition to remote learning for the remainder of the semester.",
23,George Washington University,Washington,DC,Online only,"Beginning Monday, March 23, most GW classes will move online, and they will remain online through at least April 5.",
24,University of Florida,Gainesville,FL,Not fully online," This is not a requirement at this time, there is a strong probability that it will become a requirement before the end of the spring semester",
25,Indiana University,Bloomington,IN,Online only,"Following our scheduled spring break (March 15 to 22), students on all IU campuses will be taught remotely (not in person) for two weeks (March 23 to April 5). We are planning to resume face-to-face teaching on Monday, April 6.",
26,Purdue Unversity,West Lafayette,IN,Online only, All faculty and staff should move their courses to online or alternative delivery before March 23 ,
27,Drake University,Des Moines,IA,Online only,"All courses remotely from March 23—April 3, 2020.",
28,University of Iowa,Iowa City,IA,Online only, Online for two weeks after spring break,
29,Belmont University,Nashville,TN,Online only,"Beginning Monday, March 23, all classes will resume in an online-only capacity for at least two weeks.",
30,Vanderbilt University,Nashville ,TN,Online only,"Beginning Monday, March 16 and through at least March 30, the university is suspending all in-person classes",
31,University of Virginia,Charlottesville,VA,Online only,"Moving all classes online beginning Thursday, March 19.",
32,Middlebury College,Middlebury,VT,Online only,All courses will be held remotely through digital means,
33,University of South Carolina,Columbia,SC,Online only,"From Monday, March 23 through Friday, April 3, we will suspend all face-to-face instruction in lectures, discussion sections, seminars and other similar classroom settings and move to virtual instruction.",
34,University of Tulsa,Tulsa,OK,Online only,"All classes will move to virtual instruction beginning Wednesday, March 11",
